source,source_x,source_y,target,target_x,target_y,capacity_m3_day,distance_km,direction
Source_Rio_Grande,100,1000,Treatment_Alpha,500,900,12000,25,unidirectional
Source_Aquifer_Beta,300,1050,Treatment_Alpha,500,900,8000,15,unidirectional
Source_Spring_Gamma,800,1100,Treatment_Beta,1000,950,6000,20,unidirectional
Treatment_Alpha,500,900,Reservoir_Main,1200,850,15000,30,unidirectional
Treatment_Beta,1000,950,Reservoir_Main,1200,850,10000,35,unidirectional
Reservoir_Main,1200,850,Reservoir_North,1500,950,9000,40,bidirectional
Reservoir_Main,1200,850,Reservoir_South,1500,750,11000,45,bidirectional
Reservoir_North,1500,950,City_Greenvalley,2000,920,7000,12,unidirectional
Reservoir_North,1500,950,City_Hillside,1800,850,5000,18,unidirectional
Reservoir_South,1500,750,City_Hillside,1800,850,6000,15,bidirectional
Reservoir_South,1500,750,City_Laketown,2200,700,8000,22,unidirectional
City_Greenvalley,2000,920,District_Downtown,2300,880,6500,8,unidirectional
City_Hillside,1800,850,District_Uptown,2000,820,5500,10,bidirectional
City_Hillside,1800,850,District_Suburb,1600,800,4500,14,unidirectional
City_Laketown,2200,700,District_Waterfront,2500,680,7500,16,unidirectional
District_Downtown,2300,880,Demand_Residential,2500,850,6000,5,unidirectional
District_Uptown,2000,820,Demand_Commercial,2200,800,5000,7,unidirectional
District_Waterfront,2500,680,Demand_Tourism,2800,650,7000,11,unidirectional
Treatment_Alpha,500,900,Backup_Reservoir,800,820,5000,50,unidirectional
Backup_Reservoir,800,820,Reservoir_South,1500,750,4000,20,bidirectional
Source_Rio_Grande,100,1000,Backup_Reservoir,800,820,3000,60,unidirectional
Source_Deep_Well,200,850,Treatment_Alpha,500,900,7000,12,unidirectional
Source_Rain_Harvest,400,700,Treatment_Beta,1000,950,4000,18,unidirectional
Reservoir_North,1500,950,City_Riverside,1700,1100,5500,10,unidirectional
City_Riverside,1700,1100,Demand_Agriculture,1500,1150,5000,7,unidirectional
Reservoir_South,1500,750,City_Milltown,2000,680,6000,18,unidirectional
City_Milltown,2000,680,Demand_Factory,2200,650,4500,6,unidirectional
